date,open,close,high,low,volume,money
2022-01-04,18.35,19.29,19.44,18.23,206789121.0,3956475666.05
2022-01-05,19.24,19.93,20.35,19.17,205010929.0,4075047844.56
2022-01-06,19.89,19.82,20.4,19.58,146582459.0,2923511291.25
2022-01-07,20.13,20.61,21.15,20.1,240301629.0,4969780143.69
2022-01-10,20.53,20.87,21.34,20.3,162249073.0,3376585470.0
2022-01-11,20.82,21.0,21.74,20.52,180818298.0,3837452592.0
2022-01-12,20.86,20.76,21.01,20.25,134760688.0,2783109367.0
2022-01-13,20.72,20.27,20.98,20.22,96944758.0,1984764398.0
2022-01-14,20.33,19.49,20.43,19.46,111216132.0,2191322326.0
2022-01-17,19.45,19.65,19.98,19.45,66482237.0,1311268282.0
2022-01-18,19.73,20.33,20.62,19.64,113338518.0,2286204060.0
2022-01-19,20.53,20.62,21.0,20.25,126562917.0,2611685896.0
2022-01-20,20.71,20.82,21.28,20.62,169069408.0,3538267133.0
2022-01-21,20.64,20.38,20.78,20.25,84034069.0,1717179550.0
2022-01-24,20.33,20.43,20.72,20.01,86401082.0,1761877978.0
2022-01-25,20.34,19.6,20.41,19.52,112907311.0,2239316767.0
2022-01-26,19.76,19.52,19.88,19.3,71939021.0,1400883473.0
2022-01-27,19.33,19.25,19.68,19.06,105333423.0,2038304825.0
2022-01-28,19.4,19.14,19.63,19.08,91213557.0,1765406636.0
2022-02-07,19.33,19.69,19.79,19.06,99567531.0,1936407933.0
2022-02-08,19.6,19.66,19.86,19.21,86711595.0,1690753297.0
2022-02-09,19.6,19.3,20.08,19.22,145401789.0,2857589555.0
2022-02-10,19.23,19.63,19.95,18.74,149731141.0,2911436086.0
2022-02-11,19.77,19.94,20.41,19.77,158353921.0,3179393916.0
2022-02-14,19.73,19.06,19.73,19.02,134751242.0,2590358817.0
2022-02-15,19.07,18.65,19.13,18.56,121099848.0,2269888626.0
2022-02-16,18.71,18.83,18.98,18.59,75027870.0,1409098466.0
2022-02-17,18.8,18.64,18.8,18.42,82094867.0,1526819219.0
2022-02-18,18.55,19.28,19.34,18.55,145779251.0,2777835884.0
